reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rmg_rxn_10731,RMG,[CH2]CC[O],CC=CON(N)C,7,2,2,False,8,1,0
rmg_rxn_10732,RMG,[CH]CC,CCCOC,7,0,1,False,6,0,0
rmg_rxn_10733,RMG,[NH]N,C[CH]COC,4,2,1,False,5,0,0
rmg_rxn_10734,RMG,CC[NH],C[CH]COC,6,1,1,False,6,0,0
rmg_rxn_10735,RMG,[O]O,C[CH]COC,4,0,3,False,5,0,0
rmg_rxn_10736,RMG,[CH2]OCCC[O],CCCOC,8,0,3,False,9,0,0
rmg_rxn_10737,RMG,C[CH]COC,COCCC[O],8,0,3,False,9,0,0
rmg_rxn_10738,RMG,[CH2]CCOC[O],CCCOC,8,0,3,False,9,0,0
rmg_rxn_10739,RMG,[CH2]CCOC[O],CCCOC,8,0,3,False,9,0,0
rmg_rxn_10740,RMG,[OH],CCCOC,4,0,2,False,4,0,0
rmg_rxn_10741,RMG,O1ON1,C[CH]COC,4,1,3,False,4,0,0
rmg_rxn_10742,RMG,[CH3],CCCOC,5,0,1,False,4,0,0
rmg_rxn_10743,RMG,NN=O,C[CH]COC,4,2,2,False,5,1,0
rmg_rxn_10744,RMG,ON=N,C[CH]COC,4,2,2,False,5,1,0
rmg_rxn_10745,RMG,[O-][NH+]=N,C[CH]COC,4,2,2,False,5,1,0
rmg_rxn_10746,RMG,CN=O,C[CH]COC,5,1,2,False,5,1,0
rmg_rxn_10747,RMG,ON=C,C[CH]COC,5,1,2,False,5,1,0
rmg_rxn_10748,RMG,[O-][NH+]=C,C[CH]COC,5,1,2,False,5,1,0
rmg_rxn_10749,RMG,N=O,C[CH]COC,4,1,2,False,4,1,0
rmg_rxn_10750,RMG,CC[NH],CCCOC,6,1,1,False,6,0,0
rmg_rxn_10751,RMG,CC#CC,C[CH]COC,8,0,1,False,6,0,1
rmg_rxn_10752,RMG,[O-][NH+]CC,C[CH]COC,6,1,2,False,7,0,0
rmg_rxn_10753,RMG,CCS,C[CH]COC,6,0,1,False,6,0,0
rmg_rxn_10754,RMG,CSCC,C[CH]COC,7,0,1,False,7,0,0
rmg_rxn_10755,RMG,[CH2]CC,CCCOC,7,0,1,False,6,0,0
rmg_rxn_10756,RMG,[N-]=[NH2+],C[CH]COC,4,2,1,False,4,1,0
rmg_rxn_10757,RMG,[O-][NH+]C[CH2],CCCOC,6,1,2,False,7,0,0
rmg_rxn_10758,RMG,[H],CCCOC,4,0,1,False,4,0,0
rmg_rxn_10759,RMG,CC=NO,C[CH]COC,6,1,2,False,6,1,0
rmg_rxn_10760,RMG,CCN=O,C[CH]COC,6,1,2,False,6,1,0
rmg_rxn_10761,RMG,[O-][NH+]=CC,C[CH]COC,6,1,2,False,6,1,0
rmg_rxn_10762,RMG,[CH2]CSCC,CCCOC,8,0,1,False,8,0,0
rmg_rxn_10763,RMG,C[CH]COC,CCCC,8,0,1,False,7,0,0
rmg_rxn_10764,RMG,C[CH]COC,CCCOC,8,0,2,False,8,0,0
rmg_rxn_10765,RMG,[CH2]CCC,CCCOC,8,0,1,False,7,0,0
rmg_rxn_10766,RMG,C1COCOC1,C[CH]COC,8,0,3,False,10,0,0
rmg_rxn_10767,RMG,C[CH]COC,CCSCC,8,0,1,False,8,0,0
rmg_rxn_10768,RMG,S,C[CH]COC,4,0,1,False,4,0,0
rmg_rxn_10769,RMG,CC#N,C[CH]COC,6,1,1,False,5,0,1
rmg_rxn_10770,RMG,[O-][N+](=N)[CH2],CCCOC,5,2,2,False,6,1,0
rmg_rxn_10771,RMG,[O-][N+](=N)[CH2],CCCOC,5,2,2,False,6,1,0
rmg_rxn_10772,RMG,[O-][N+](=N)C,C[CH]COC,5,2,2,False,6,1,0
