RXN,RUN,SUCCESS,CHECKED,MOVED,ERROR
rmg_rxn_397,False,False,False,True,False
rmg_rxn_398,False,False,False,True,False
rmg_rxn_399,False,False,False,True,False
rmg_rxn_400,False,False,False,True,False
rmg_rxn_401,False,False,False,True,False
rmg_rxn_402,False,False,False,True,False
rmg_rxn_403,False,False,False,True,False
rmg_rxn_404,False,False,False,True,False
rmg_rxn_405,False,False,False,True,False
rmg_rxn_406,False,False,False,True,False
rmg_rxn_407,False,False,False,True,False
rmg_rxn_408,False,False,False,True,False
rmg_rxn_409,False,False,False,True,False
rmg_rxn_410,False,False,False,True,False
rmg_rxn_411,False,False,False,True,False
rmg_rxn_412,False,False,False,True,False
rmg_rxn_413,False,False,False,True,False
rmg_rxn_414,False,False,False,True,False
rmg_rxn_415,False,False,False,True,False
rmg_rxn_416,False,False,False,True,False
rmg_rxn_417,False,False,False,True,False
rmg_rxn_418,False,False,False,True,False
rmg_rxn_419,False,False,False,True,False
rmg_rxn_420,False,False,False,True,False
rmg_rxn_421,False,False,False,True,False
rmg_rxn_422,False,False,False,True,False
rmg_rxn_423,False,False,False,True,False
rmg_rxn_424,False,False,False,True,False
rmg_rxn_425,False,False,False,True,False
rmg_rxn_426,False,False,False,True,False
rmg_rxn_427,False,False,False,True,False
rmg_rxn_428,False,False,False,True,False
rmg_rxn_429,False,False,False,True,False
rmg_rxn_430,False,False,False,True,False
rmg_rxn_431,False,False,False,True,False
rmg_rxn_432,False,False,False,True,False
rmg_rxn_433,False,False,False,True,False
rmg_rxn_434,False,False,False,True,False
rmg_rxn_435,False,False,False,True,False
rmg_rxn_436,False,False,False,True,False
rmg_rxn_437,False,False,False,True,False
rmg_rxn_438,False,False,False,True,False
rmg_rxn_439,False,False,False,True,False
rmg_rxn_440,False,False,False,True,False
rmg_rxn_441,False,False,False,True,False
rmg_rxn_442,False,False,False,True,False
rmg_rxn_443,False,False,False,True,False
rmg_rxn_444,False,False,False,True,False
