reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rxn_1631,Zeus,C=[C]C=S,C=CC,6,0,0,False,2,3,0
rxn_1357,Zeus,C#C[C](C)C,C#CCC#C,10,0,0,False,5,0,3
rxn_1351,Zeus,C#CCC#C,C=C[CH]C,9,0,0,False,4,1,2
rxn_203,Zeus,COO,[H],1,0,2,False,2,0,0
rxn_303,Zeus,CCC,[O][O],3,0,2,False,3,0,0
rxn_1928,Zeus,CC(S)C,[c]1ccccc1,9,0,0,True,3,0,0
rxn_827,Zeus,[H],C,1,0,0,False,0,0,0
rxn_243,Zeus,CCO[O],[O]O,2,0,4,False,4,0,0
rxn_615,Zeus,C[C](C)c1ccccc1,C1CCC2CCCC2C1,18,0,0,False,13,0,0
rxn_393,Zeus,[C]#C,CO,3,0,1,False,1,0,1
rxn_1362,Zeus,C#CCC#C,[CH]=C,7,0,0,False,2,1,2
rxn_1968,Zeus,CC=S,C[C](C)c1ccccc1,11,0,0,True,4,1,0
rxn_1911,Zeus,CC(S)C,C[C](C)C,7,0,0,False,6,0,0
rxn_791,Zeus,[H][H],C=C[C](C)C,5,0,0,False,4,1,0
rxn_1314,Zeus,C#C[C](C)C#C,C#CC(C)C,11,0,0,False,6,0,3
rxn_688,Zeus,C,[N]=C=O,2,1,1,False,0,2,0
rxn_1992,Zeus,C=C[C]=S,CC=S,5,0,0,False,2,3,0
rxn_1114,Zeus,S[CH]C=S,C=CC(C)C,7,0,0,False,5,2,0
rxn_1488,Zeus,C#C[CH]C,CCc1ccccc1,12,0,0,True,4,0,1
rxn_1974,Zeus,[CH2]S,CC=S,3,0,0,False,2,1,0
rxn_1981,Zeus,S[CH]C=C,CC=S,5,0,0,False,3,2,0
rxn_1409,Zeus,C#CC(C)C#C,[c]1ccccc1,12,0,0,True,3,0,2
rxn_1508,Zeus,C[C](C=C)S,CCc1ccccc1,12,0,0,True,5,1,0
rxn_1423,Zeus,C#CC(C)C#C,S[CH]C#C,9,0,0,False,5,0,3
rxn_278,Zeus,c1ccccc1,[CH3],7,0,0,False,0,0,0
rxn_2024,Zeus,C=[C]C=S,CCC=S,6,0,0,False,3,3,0
rxn_689,Zeus,N,[N]=C=O,1,2,1,False,0,2,0
rxn_216,Zeus,CO[O],CC,3,0,2,False,3,0,0
rxn_132,Zeus,[Cl],CC,2,0,0,False,1,0,0
rxn_1236,Zeus,C#CC,C[CH]S,5,0,0,False,3,0,1
rxn_997,Zeus,C=CC,C[CH2],5,0,0,False,2,1,0
rxn_664,Zeus,O,[C]#N,1,1,1,False,0,0,1
rxn_473,Zeus,CS,C[O],2,0,1,False,2,0,0
rxn_1332,Zeus,C#CC(C)C,C[C](C=C)S,9,0,0,False,6,1,1
rxn_2019,Zeus,C[CH]S,CCC=S,5,0,0,False,4,1,0
rxn_1248,Zeus,C#CC,S[CH]C#C,6,0,0,False,3,0,2
rxn_309,Zeus,[H][H],[CH]=O,1,0,1,False,1,1,0
rxn_259,Zeus,Cc1ccccc1,[OH],7,0,1,False,1,0,0
rxn_818,Zeus,[H][H],S[CH]C#C,3,0,0,False,3,0,1
rxn_765,Zeus,[OH],CC(C)CO,4,0,2,False,4,0,0
rxn_452,Zeus,CCOO,C[CH2],4,0,2,False,4,0,0
rxn_930,Zeus,[CH2]S,CCC,4,0,0,False,3,0,0
rxn_1232,Zeus,C#CC,C=[C]C=C,7,0,0,False,2,2,1
rxn_1288,Zeus,C#CCC,C[C](C=C)S,8,0,0,False,5,1,1
rxn_1227,Zeus,C#CC,[CH2]c1ccccc1,10,0,0,True,2,0,1
rxn_1200,Zeus,S[CH]C=C,C=CC(C)C=C,9,0,0,False,5,3,0
rxn_218,Zeus,C=C,[OH],2,0,1,False,0,1,0
rxn_1660,Zeus,C#C[C](C)C#C,C=CC=C,10,0,0,False,4,2,2
rxn_715,Zeus,NO,[CH3],1,1,1,False,1,0,0
rxn_1020,Zeus,C=CC,[CH2]C=S,5,0,0,False,2,2,0
rxn_153,Zeus,[Cl],C1CCC1,4,0,0,False,4,0,0
rxn_1994,Zeus,[H],CCC=S,3,0,0,False,2,1,0
rxn_1256,Zeus,S=[C]C#C,C#CC,6,0,0,False,2,1,2
rxn_487,Zeus,C[CH]C,C1CC2CCC1C2,10,0,0,False,10,0,0
rxn_1840,Zeus,S=[C]C#C,C=C=C,6,0,0,False,1,3,1
rxn_1029,Zeus,C[C](C=S)S,C=CC,6,0,0,False,4,2,0
rxn_806,Zeus,[H][H],[CH2]S,1,0,0,False,2,0,0
rxn_1063,Zeus,C[CH]C=S,C=CCC,7,0,0,False,4,2,0
rxn_1440,Zeus,C=C[C](C)C,Cc1ccccc1,12,0,0,True,4,1,0
rxn_289,Zeus,[H][H],[O][O],0,0,2,False,2,0,0
rxn_874,Zeus,C=C[C](C)C=C,CC,8,0,0,False,4,2,0
rxn_1205,Zeus,C[C](C#C)S,C=CC(C)C=C,10,0,0,False,6,2,1
rxn_353,Zeus,[OH],C#C,2,0,1,False,0,0,1
rxn_287,Zeus,[H][H],C[O],1,0,1,False,2,0,0
rxn_18,Zeus,C=CC,CC(C)[CH]O,7,0,1,False,5,1,0
rxn_1410,Zeus,C#CC(C)C#C,C#C[C]=C,10,0,0,False,4,1,3
rxn_1012,Zeus,[CH]=C,C=CC,5,0,0,False,1,2,0
rxn_1970,Zeus,C=[C]C,CC=S,5,0,0,False,2,2,0
rxn_893,Zeus,S=C[C](C)C,CC,6,0,0,False,4,1,0
rxn_887,Zeus,[CH2]S,CC,3,0,0,False,2,0,0
rxn_1947,Zeus,S[C]=S,CC(S)C,4,0,0,False,4,1,0
rxn_1458,Zeus,[CH2]C=S,Cc1ccccc1,9,0,0,True,2,1,0
rxn_483,Zeus,[CH3],C1CC2CCC1C2,8,0,0,False,8,0,0
rxn_475,Zeus,C[CH]S,CC=O,4,0,1,False,3,1,0
rxn_683,Zeus,CN,[O],1,1,1,False,1,0,0
rxn_1347,Zeus,C#CCC#C,C[CH2],7,0,0,False,3,0,2
rxn_55,Zeus,C=C,[SH],2,0,0,False,0,1,0
rxn_1196,Zeus,C=CC(C)C=C,S=C[C](C)C,10,0,0,False,6,3,0
rxn_201,Zeus,CO,[CH3],2,0,1,False,1,0,0
rxn_1365,Zeus,C#CCC#C,[c]1ccccc1,11,0,0,True,2,0,2
rxn_790,Zeus,[H][H],C=C[CH]C,4,0,0,False,3,1,0
rxn_2009,Zeus,C#C[C](C)C#C,CCC=S,9,0,0,False,5,1,2
rxn_766,Zeus,[H],CO,1,0,1,False,1,0,0
rxn_856,Zeus,C[C](C=C)S,C,5,0,0,False,3,1,0
rxn_1221,Zeus,C#CC,C=C[CH]C=C,8,0,0,False,3,2,1
rxn_691,Zeus,C=CO,[O],2,0,2,False,1,1,0
rxn_1381,Zeus,C[C](C#C)S,C#CCC#C,9,0,0,False,5,0,3
rxn_1959,Zeus,C=C[CH]C=C,CC=S,7,0,0,False,3,3,0
rxn_1273,Zeus,C#CCC,C[C](C)c1ccccc1,13,0,0,True,5,0,1
rxn_127,Zeus,CC=N,[H],2,1,0,False,1,1,0
rxn_396,Zeus,OO,C[CH]CCO,4,0,3,False,5,0,0
rxn_1263,Zeus,C#CCC,C=C[CH]C,8,0,0,False,4,1,1
rxn_1072,Zeus,S[CH]C#C,C=CCC,7,0,0,False,4,1,1
rxn_1949,Zeus,S=[C]C#C,CC(S)C,6,0,0,False,4,1,1
rxn_1405,Zeus,C#CC(C)C#C,C[C](C)c1ccccc1,15,0,0,True,6,0,2
rxn_1014,Zeus,C=[C]C=C,C=CC,7,0,0,False,2,3,0
rxn_456,Zeus,CCOO,C[C]=O,4,0,3,False,4,1,0
rxn_1450,Zeus,[CH]=C,Cc1ccccc1,9,0,0,True,1,1,0
rxn_1276,Zeus,C#CCC,C=[C]C=C,8,0,0,False,3,2,1
rxn_32,Zeus,CC=CC,[O]O,4,0,2,False,3,1,0
rxn_1654,Zeus,C=C[CH]C=C,C=CC=C,9,0,0,False,3,4,0
rxn_774,Zeus,[CH]=C,CC,4,0,0,False,1,1,0
rxn_1026,Zeus,S[CH]C=C,C=CC,6,0,0,False,3,2,0
rxn_1904,Zeus,CCS,C=C[C]=S,5,0,0,False,3,2,0
rxn_1298,Zeus,S[C]=S,C#CCC,5,0,0,False,3,1,1
rxn_1128,Zeus,C=CCC=C,C[CH]C,8,0,0,False,4,2,0
rxn_1286,Zeus,C#CCC,C=[C]C=S,7,0,0,False,3,2,1
rxn_1189,Zeus,C=CC(C)C=C,[c]1ccccc1,12,0,0,True,3,2,0
rxn_252,Zeus,C=C=CC,[H],4,0,0,False,1,2,0
rxn_176,Zeus,C=CC,[c]1ccccc1,9,0,0,True,1,1,0
